Date,Product,Category,Region,Units_Sold,Revenue,Cost,Profit
2023-06-22,Headphones,Accessories,Phoenix,6,278.45,155.93,122.52
2023-12-12,Printer,Accessories,New York,10,1569.16,894.42,674.74
2023-08-03,Keyboard,Peripherals,Houston,17,1121.6,684.18,437.42
2023-03-09,Printer,Accessories,New York,1,1275.57,548.5,727.07
2023-09-25,Headphones,Accessories,New York,2,782.49,492.97,289.52
2023-12-21,Tablet,Electronics,Los Angeles,5,1919.29,882.87,1036.42
2023-06-03,Keyboard,Peripherals,Los Angeles,7,1251.6,713.41,538.19
2023-03-05,Phone,Electronics,New York,6,781.45,539.2,242.25
2023-12-11,Monitor,Peripherals,New York,20,1986.4,1291.16,695.24
2023-05-25,Monitor,Peripherals,Los Angeles,19,1809.92,1067.85,742.07
2023-08-19,Laptop,Electronics,Phoenix,20,2826.84,1300.35,1526.49
2023-03-06,Phone,Electronics,Los Angeles,6,659.09,283.41,375.68
2023-05-18,Laptop,Electronics,New York,6,2580.39,1264.39,1316.0
2023-04-29,Phone,Electronics,Los Angeles,12,1242.83,521.99,720.84
2023-02-07,Laptop,Electronics,Chicago,4,692.27,339.21,353.06
2023-01-14,Laptop,Electronics,New York,9,1611.05,1063.29,547.76
2023-09-25,Monitor,Peripherals,New York,20,776.4,465.84,310.56
2023-05-11,Keyboard,Peripherals,Chicago,11,237.19,116.22,120.97
2023-12-02,Keyboard,Peripherals,Houston,5,1370.65,685.33,685.33
2023-05-13,Tablet,Electronics,Houston,15,1471.61,897.68,573.93
2023-11-27,Monitor,Peripherals,New York,18,1374.54,563.56,810.98
2023-03-02,Phone,Electronics,Phoenix,2,1862.37,912.56,949.81
2023-05-25,Phone,Electronics,New York,14,1130.33,779.93,350.4
2023-09-13,Tablet,Electronics,Los Angeles,5,2909.78,1804.06,1105.72
2023-09-22,Keyboard,Peripherals,Los Angeles,14,1426.76,784.72,642.04
2023-07-27,Printer,Accessories,Houston,14,621.19,366.5,254.69
2023-03-16,Keyboard,Peripherals,New York,9,2919.6,1197.04,1722.56
2023-04-26,Phone,Electronics,Phoenix,18,659.18,428.47,230.71
2023-03-07,Headphones,Accessories,Los Angeles,16,2093.53,1381.73,711.8
2023-12-30,Headphones,Accessories,Houston,1,2531.49,1645.47,886.02
2023-07-27,Headphones,Accessories,Phoenix,7,1653.31,1140.78,512.53
2023-11-02,Laptop,Electronics,Phoenix,2,2456.05,1547.31,908.74
2023-12-25,Keyboard,Peripherals,New York,12,1395.02,795.16,599.86
2023-04-13,Phone,Electronics,Houston,17,495.43,312.12,183.31
2023-08-24,Printer,Accessories,Phoenix,5,2809.52,1264.28,1545.24
2023-09-28,Monitor,Peripherals,Phoenix,4,1158.34,695.0,463.34
2023-12-01,Phone,Electronics,Phoenix,2,1473.62,1031.53,442.09
2023-09-05,Printer,Accessories,Houston,8,924.12,646.88,277.24
2023-05-30,Monitor,Peripherals,Chicago,14,727.93,502.27,225.66
2023-04-15,Monitor,Peripherals,New York,4,620.06,322.43,297.63
2023-03-04,Monitor,Peripherals,Phoenix,18,2705.88,1488.23,1217.65
2023-01-08,Tablet,Electronics,Phoenix,7,2997.27,1558.58,1438.69
2023-03-27,Keyboard,Peripherals,Houston,11,1316.47,684.56,631.91
2023-12-02,Phone,Electronics,Houston,8,783.51,407.43,376.08
2023-10-11,Headphones,Accessories,New York,8,610.72,299.25,311.47
2023-02-22,Keyboard,Peripherals,Houston,19,290.89,171.63,119.26
2023-05-07,Tablet,Electronics,Houston,2,2732.89,1393.77,1339.12
2023-04-29,Phone,Electronics,Los Angeles,6,308.5,151.16,157.34
2023-01-05,Keyboard,Peripherals,Chicago,13,1910.19,1127.01,783.18
2023-08-01,Laptop,Electronics,Houston,6,578.3,323.85,254.45
2023-04-16,Phone,Electronics,Phoenix,18,812.39,349.33,463.06
2023-03-05,Tablet,Electronics,New York,16,2471.6,1013.36,1458.24
2023-07-29,Phone,Electronics,Houston,19,1019.67,489.44,530.23
2023-09-14,Keyboard,Peripherals,Houston,10,2701.18,1647.72,1053.46
2023-10-05,Phone,Electronics,Phoenix,11,1813.87,761.83,1052.04
2023-04-11,Printer,Accessories,Chicago,17,2948.32,1651.06,1297.26
2023-02-01,Tablet,Electronics,Chicago,16,941.79,452.06,489.73
2023-10-23,Printer,Accessories,Chicago,20,321.05,215.1,105.95
2023-09-26,Keyboard,Peripherals,Chicago,16,1158.04,509.54,648.5
2023-02-20,Phone,Electronics,Los Angeles,9,2803.44,1401.72,1401.72
2023-05-10,Headphones,Accessories,Phoenix,1,857.2,548.61,308.59
2023-08-30,Printer,Accessories,New York,19,818.77,368.45,450.32
2023-01-20,Laptop,Electronics,Houston,20,1411.78,917.66,494.12
2023-11-10,Phone,Electronics,Phoenix,13,2101.65,840.66,1260.99
2023-07-14,Headphones,Accessories,Los Angeles,9,506.22,318.92,187.3
2023-06-02,Printer,Accessories,Phoenix,20,881.08,537.46,343.62
2023-07-04,Tablet,Electronics,Los Angeles,17,2711.28,1816.56,894.72
2023-11-14,Laptop,Electronics,Phoenix,3,1238.94,607.08,631.86
2023-11-12,Tablet,Electronics,Phoenix,18,229.18,96.26,132.92
2023-12-11,Headphones,Accessories,Houston,3,1445.54,737.23,708.31
2023-11-25,Printer,Accessories,Phoenix,14,2821.36,1213.18,1608.18
2023-08-05,Phone,Electronics,New York,20,2635.63,1106.96,1528.67
2023-06-04,Printer,Accessories,Phoenix,16,2862.15,1202.1,1660.05
2023-03-12,Keyboard,Peripherals,Chicago,15,2451.01,1348.06,1102.95
2023-04-02,Monitor,Peripherals,Phoenix,19,2682.88,1341.44,1341.44
2023-12-18,Headphones,Accessories,Phoenix,6,817.65,384.3,433.35
2023-10-31,Headphones,Accessories,Phoenix,6,2311.24,1317.41,993.83
2023-11-16,Keyboard,Peripherals,Los Angeles,18,2971.04,1366.68,1604.36
2023-10-11,Tablet,Electronics,Los Angeles,1,2557.14,1585.43,971.71
2023-09-15,Laptop,Electronics,New York,3,630.72,397.35,233.37
2023-08-29,Printer,Accessories,Phoenix,18,220.77,97.14,123.63
